,temp,rad
5/1,21.7,25.75 
5/2,22.2,26.24 
5/3,20.7,11.97 
5/4,19.4,7.87 
5/5,18.6,27.45 
5/6,19.9,22.86 
5/7,20.9,17.33 
5/8,21.3,25.06 
5/9,18.8,5.54 
5/10,18.1,26.81 
5/11,18.2,27.33 
5/12,18.5,5.42 
5/13,19.7,26.87 
5/14,19.5,17.21 
5/15,23.5,22.71 
5/16,20.2,10.12 
5/17,20.3,26.46 
5/18,20.5,17.10 
5/19,20.8,14.56 
5/20,20.4,26.16 
5/21,18.6,27.11 
5/22,20.4,24.84 
5/23,20.7,13.56 
5/24,23,24.77 
5/25,23.1,23.91 
5/26,24.5,26.24 
5/27,25,27.08 
5/28,24.3,20.54 
5/29,25.1,21.48 
5/30,25.5,23.16 
5/31,23.4,20.04 
6/1,24.3,26.03 
6/2,24.6,18.42 
6/3,21.5,4.96 
6/4,20.7,28.43 
6/5,15.9,4.21 
6/6,18.3,20.37 
6/7,20.7,17.77 
6/8,20.4,10.02 
6/9,20.4,6.25 
6/10,23.3,24.11 
6/11,21.3,6.96 
6/12,24.1,18.11 
6/13,25.3,20.68 
6/14,23.8,11.59 
6/15,25.2,19.98 
6/16,23.1,7.88 
6/17,24.4,23.52 
6/18,21.4,8.89 
6/19,19.9,9.59 
6/20,23.4,15.58 
6/21,22.7,19.75 
6/22,23.5,16.77 
6/23,25,19.76 
6/24,25.5,23.12 
6/25,26.3,24.80 
6/26,21.8,2.06 
6/27,22.8,6.49 
6/28,21.5,20.05 
6/29,22.9,28.13 
6/30,22.3,11.48 
7/1,23,4.82 
7/2,24.9,18.59 
7/3,24.5,17.63 
7/4,22.2,3.45 
7/5,22.2,11.66 
7/6,22.2,6.81 
7/7,22.5,7.40 
7/8,24.5,10.49 
7/9,26.6,13.70 
7/10,27.8,18.59 
7/11,27.6,15.56 
7/12,28.5,21.89 
7/13,30.1,16.71 
7/14,29.6,26.84 
7/15,28.9,25.20 
7/16,26.8,12.95 
7/17,24.3,1.68 
7/18,25,11.44 
7/19,27.2,14.54 
7/20,28.7,26.51 
7/21,28.1,17.02 
7/22,25.5,5.74 
7/23,24.7,5.74 
7/24,27.7,21.10 
7/25,28.5,25.12 
7/26,29.6,26.77 
7/27,28.6,17.68 
7/28,28.1,12.77 
7/29,28.5,17.02 
7/30,28.7,15.37 
7/31,30.7,22.49 
8/1,31.4,22.14 
8/2,31.3,24.03 
8/3,31.4,24.15 
8/4,31.3,21.72 
8/5,31.3,25.69 
8/6,30.3,17.51 
8/7,30.3,18.83 
8/8,29.2,23.55 
8/9,30.4,24.03 
8/10,30.3,20.59 
8/11,29.8,21.41 
8/12,29,14.45 
8/13,26.8,10.64 
8/14,28.1,17.768724
8/15,28.6,22.573525
8/16,26.7,11.980914
8/17,25.4,10.235384
8/18,27.3,19.606124
8/19,25.3,6.17473
8/20,25.6,7.589528
8/21,26.6,14.341973
8/22,27,15.701649
8/23,26.9,18.843603
8/24,26.8,20.203279
8/25,24.8,8.820586
8/26,26.8,21.195475
8/27,26.9,20.809621
8/28,27.1,20.846369
8/29,25.6,10.079205
8/30,24.3,5.467331
8/31,23.8,6.404405
9/1,25,11.062214
9/2,25.3,13.763192
9/3,23.1,3.721801
9/4,24.4,18.246448
9/5,24.3,17.38287
9/6,22.5,2.876597
9/7,22.9,6.110421
9/8,21.9,2.5918
9/9,22.3,7.975382
9/10,22.4,8.085626
9/11,21.8,20.32271
9/12,22.9,19.661246
9/13,23.4,15.756771
9/14,21.8,19.201896
9/15,22.9,17.070512
9/16,22,5.246843
9/17,20.1,5.412209
9/18,21.3,15.54547
9/19,21.6,15.931324
9/20,21.4,18.963034
9/21,22,15.894576
9/22,23,18.053521
9/23,23.8,16.197747
9/24,21.3,3.850419
9/25,21.7,7.029121
9/26,23.5,14.516526
9/27,22.2,13.386525
9/28,22.4,19.211083
9/29,21.3,17.961651
9/30,19.2,14.25929
10/1,19.8,3.795297
10/2,21.6,15.104494
10/3,19.4,18.145391
10/4,,15.894576
10/5,,10.529368
10/6,,12.963923
10/7,,18.2097
10/8,,14.617583
,,13.110915
,,6.946438
,,6.202291
,,10.070018
,,14.057176
,,15.903763
,,12.403516
,,16.776528
,,12.596443
,,16.014007
,,16.078316
,,13.496769
,,14.296038
,,9.068635
,,14.782949
,,13.845875
,,15.205551
,,15.444413
,,11.402133
,,11.797174
,,14.213355
,,11.181645
,,11.282702
