ID	TransPlantSet	year	month	day	hour	LineID	LineName	ColPos	RowPos	PlantPos	サンプリング実行者	Kobayashi comment	"RNA extraction
date"	"daily 
sample 
No."	"box 
No."	"TECAN
conc."	"Quantus
conc."	RIN	"rRNA
ratio"	"error、Conditions change
※ｺﾒﾝﾄの日付はRNA抽出日が基準"	確認
30817	1	2016	8	4	10	68	SL1325	B	25	4			20170324	2	8	722					
30818	1	2016	8	4	10	58	SL1315	B	15	4			20170324	3	8	540					
30821	2	2016	8	4	10	78	SL1335	B	35	3			20170324	6	8	55					
30822	2	2016	8	4	10	49	SL1308	B	6	3			20170324	7	9	184					
30825	1	2016	8	4	12	8	SL1208	A	8	4			20170324	10	9	329					
30826	1	2016	8	4	12	4	SL1204	A	4	4			20170324	11	9	118					
30829	2	2016	8	4	12	50	SL1307	B	7	3			20170324	14	9	103					
30830	2	2016	8	4	12	38	SL1238	A	38	3			20170324	15	9	793					
30833	1	2016	8	4	14	18	SL1218	A	18	4			20170324	18	9	510					
30834	1	2016	8	4	14	60	SL1317	B	17	4			20170324	19	9	215					
30837	2	2016	8	4	14	55	SL1312	B	12	4			20170324	22	9	239					
30838	2	2016	8	4	14	69	SL1326	B	26	4			20170324	23	9	387					
30841	1	2016	8	4	16	78	SL1335	B	35	4			20170324	26	9	186					
30842	1	2016	8	4	16	40	SL1240	A	40	4			20170324	27	9	349					
30845	2	2016	8	4	16	9	SL1209	A	9	4			20170324	29	9	268					
30846	2	2016	8	4	16	58	SL1315	B	15	4			20170324	30	9	230					
30849	1	2016	8	4	18	41	SL1241	A	41	4			20170411	1	9	418		8.7	2.9		
30850	1	2016	8	4	18	34	SL1234	A	34	4			20170411	2	9	421					
30853	2	2016	8	4	18	46	SL1303	B	3	4			20170411	5	9	346					
30854	2	2016	8	4	18	54	SL1311	B	11	4			20170411	6	9	302					
30857	1	2016	8	4	20	12	SL1212	A	12	4			20170411	9	9	197					
30858	1	2016	8	4	20	21	Koshihikari	A	21	4			20170411	10	9	385					
30861	2	2016	8	4	20	78	SL1335	B	35	4			20170411	13	9	516					
30862	2	2016	8	4	20	74	SL1331	B	31	4			20170411	14	9	299					
30865	1	2016	8	4	22	50	SL1307	B	7	4			20170411	17	9	528					
30866	1	2016	8	4	22	55	SL1312	B	12	4			20170411	18	9	558					
30869	2	2016	8	4	22	47	SL1304	B	4	4			20170411	21	9	555					
30870	2	2016	8	4	22	26	SL1226	A	26	4			20170411	22	9	962					
30873	1	2016	8	5	0	61	SL1318	B	18	4			20170411	25	9	257					
30874	1	2016	8	5	0	83	Koshihikari	B	40	4			20170411	26	9	323					
30877	2	2016	8	5	0	39	SL1239	A	39	4			20170411	29	9	765					
30878	2	2016	8	5	0	38	SL1238	A	38	4			20170411	30	9	800					
30881	1	2016	8	5	2	46	SL1303	B	3	4			20170413	1	9	503		8.7	2.7		
30882	1	2016	8	5	2	48	SL1305	B	5	4			20170413	2	9	419					
30885	2	2016	8	5	2	42	Unpredictable	A	42	4			20170413	5	9	454					
30886	2	2016	8	5	2	61	SL1318	B	18	4			20170413	6	9	392					
30889	1	2016	8	5	4	47	SL1304	B	4	5			20170413	9	9	300					
30890	1	2016	8	5	4	44	Takanari	B	1	5			20170413	10	9	373					
30893	2	2016	8	5	4	86	HP-b	B	43	4		ｻﾝﾌﾟﾙ無	-	-	-	-	-	-	-		
30894	2	2016	8	5	4	16	SL1216	A	16	4			20170413	13	9	429					
30897	1	2016	8	5	6	82	SL1339	B	39	5			"20170413
20170519"	"16
24"	"9
9"	"37
426"				"RNA液を少しこぼした
破砕からやり直した"	
30898	1	2016	8	5	6	78	SL1335	B	35	5			20170413	17	9	447				ﾌﾟﾗﾝｼﾞｬｰ入れ忘れ。終了後再ｽﾀｰﾄした（問題無し）	
30901	2	2016	8	5	6	8	SL1208	A	8	4			20170413	20	9	527				ﾌﾟﾗﾝｼﾞｬｰ入れ忘れ。終了後再ｽﾀｰﾄした（問題無し）	
30902	2	2016	8	5	6	57	SL1314	B	14	4			"20170413
20170519"	"21
25"	"9
9"	"41
385"				"ﾌﾟﾗﾝｼﾞｬｰ入れ忘れ。終了後再ｽﾀｰﾄした（問題無し）RNA液を少しこぼした
破砕からやり直した"	
30905	1	2016	8	5	8	30	SL1230	A	30	5			20170413	24	9	268				ﾌﾟﾗﾝｼﾞｬｰ入れ忘れ。終了後再ｽﾀｰﾄした（問題無し）	
30906	1	2016	8	5	8	66	SL1323	B	23	5			20170413	25	9	434				ﾌﾟﾗﾝｼﾞｬｰ入れ忘れ。終了後再ｽﾀｰﾄした（問題無し）	
30909	2	2016	8	5	8	24	SL1224	A	24	4			20170413	28	9	430				ﾌﾟﾗﾝｼﾞｬｰ入れ忘れ。終了後再ｽﾀｰﾄした（問題無し）	
30910	2	2016	8	5	8	5	SL1205	A	5	4			20170413	29	9	226				ﾌﾟﾗﾝｼﾞｬｰ入れ忘れ。終了後再ｽﾀｰﾄした（問題無し）	
